[2016-06-09 15:27:02,179][INFO ][node                     ] [Nightside] stopped
[2016-06-09 15:27:02,181][INFO ][node                     ] [Nightside] closing ...
[2016-06-09 15:27:02,186][INFO ][node                     ] [Nightside] closed
[2016-06-09 15:27:09,523][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
[2016-06-09 15:27:09,741][INFO ][node                     ] [N'Gabthoth] version[2.3.3], pid[5784], build[218bdf1/2016-05-17T15:40:04Z]
[2016-06-09 15:27:09,742][INFO ][node                     ] [N'Gabthoth] initializing ...
[2016-06-09 15:27:10,216][INFO ][plugins                  ] [N'Gabthoth] modules [reindex, lang-expression, lang-groovy], plugins [], sites []
[2016-06-09 15:27:10,236][INFO ][env                      ] [N'Gabthoth] using [1] data paths, mounts [[Boot (c:)]], net usable_space [1.5tb], net total_space [1.7tb], spins? [unknown], types [NTFS]
[2016-06-09 15:27:10,239][INFO ][env                      ] [N'Gabthoth] heap size [989.8mb], compressed ordinary object pointers [unknown]
[2016-06-09 15:27:11,770][INFO ][node                     ] [N'Gabthoth] initialized
[2016-06-09 15:27:11,771][INFO ][node                     ] [N'Gabthoth] starting ...
[2016-06-09 15:27:12,024][INFO ][transport                ] [N'Gabthoth] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2016-06-09 15:27:12,029][INFO ][discovery                ] [N'Gabthoth] elasticsearch/kc0hZz5LSR2mCT6DnIgCPw
[2016-06-09 15:27:16,053][INFO ][cluster.service          ] [N'Gabthoth] new_master {N'Gabthoth}{kc0hZz5LSR2mCT6DnIgCPw}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-06-09 15:27:16,184][INFO ][gateway                  ] [N'Gabthoth] recovered [6] indices into cluster_state
[2016-06-09 15:27:16,290][INFO ][http                     ] [N'Gabthoth] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2016-06-09 15:27:16,293][INFO ][node                     ] [N'Gabthoth] started
[2016-06-09 15:27:17,105][INFO ][cluster.routing.allocation] [N'Gabthoth] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[megacorp][3], [megacorp][3], [megacorp][4], [megacorp][2], [megacorp][1]] ...]).
[2016-06-09 15:38:41,766][INFO ][node                     ] [N'Gabthoth] stopping ...
[2016-06-09 15:38:41,836][INFO ][node                     ] [N'Gabthoth] stopped
[2016-06-09 15:38:41,841][INFO ][node                     ] [N'Gabthoth] closing ...
[2016-06-09 15:38:41,841][INFO ][node                     ] [N'Gabthoth] closed
[2016-06-09 15:38:50,756][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
[2016-06-09 15:38:50,966][INFO ][node                     ] [Alfie O'Meggan] version[2.3.3], pid[13416], build[218bdf1/2016-05-17T15:40:04Z]
[2016-06-09 15:38:50,966][INFO ][node                     ] [Alfie O'Meggan] initializing ...
[2016-06-09 15:38:51,449][INFO ][plugins                  ] [Alfie O'Meggan] modules [reindex, lang-expression, lang-groovy], plugins [], sites []
[2016-06-09 15:38:51,469][INFO ][env                      ] [Alfie O'Meggan] using [1] data paths, mounts [[Boot (c:)]], net usable_space [1.5tb], net total_space [1.7tb], spins? [unknown], types [NTFS]
[2016-06-09 15:38:51,471][INFO ][env                      ] [Alfie O'Meggan] heap size [989.8mb], compressed ordinary object pointers [unknown]
[2016-06-09 15:38:53,216][INFO ][node                     ] [Alfie O'Meggan] initialized
[2016-06-09 15:38:53,217][INFO ][node                     ] [Alfie O'Meggan] starting ...
[2016-06-09 15:38:53,466][INFO ][transport                ] [Alfie O'Meggan] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2016-06-09 15:38:53,471][INFO ][discovery                ] [Alfie O'Meggan] elasticsearch/ajUFwQjHREu-62rdt5-6jA
